POS,TEAM,P,W,D,L,GF,GA,GD,PTS,AUTO%,PLAYOFF%,PROMO%,AVG_POS
1,Birmingham City FC,29,10,9,10,39,38,1,39,0.0,4.2,1.1,12.0
2,Blackburn Rovers FC,28,7,8,13,26,37,-11,29,0.0,0.0,0.0,21.1
3,Bristol City FC,29,12,7,10,40,31,9,43,0.2,20.4,5.3,9.1
4,Charlton Athletic FC,28,8,8,12,27,38,-11,32,0.0,0.0,0.0,18.7
5,Coventry City FC,28,17,7,4,61,31,30,58,90.3,9.7,92.7,1.4
6,Derby County FC,29,11,9,9,39,37,2,42,0.1,14.4,3.7,9.8
7,Hull City AFC,28,15,5,8,47,40,7,50,21.0,73.5,39.4,3.7
8,Ipswich Town FC,28,14,8,6,48,27,21,50,25.0,70.1,42.6,3.6
9,Leicester City FC,29,10,8,11,40,43,-3,38,0.0,0.9,0.2,14.3
10,Middlesbrough FC,29,16,7,6,46,29,17,55,58.4,41.0,68.7,2.5
11,Millwall FC,29,14,7,8,36,35,1,49,4.0,72.9,22.3,5.4
12,Norwich City FC,28,8,6,14,35,40,-5,30,0.0,0.0,0.0,18.5
13,Oxford United FC,28,6,9,13,27,36,-9,27,0.0,0.0,0.0,21.5
14,Portsmouth FC,26,7,8,11,23,36,-13,29,0.0,0.0,0.0,19.8
15,Preston North End FC,29,11,10,8,36,33,3,43,0.1,17.3,4.4,9.4
16,Queens Park Rangers FC,29,11,7,11,40,42,-2,40,0.0,1.8,0.4,13.2
17,Sheffield United FC,28,11,2,15,39,41,-2,35,0.0,0.8,0.2,14.5
18,Sheffield Wednesday FC,28,1,8,19,18,56,-38,11,0.0,0.0,0.0,24.0
19,Southampton FC,28,9,9,10,40,40,0,36,0.0,1.3,0.3,14.1
20,Stoke City FC,29,12,6,11,34,26,8,42,0.2,20.6,5.3,9.2
21,Swansea City AFC,29,10,6,13,32,37,-5,36,0.0,0.1,0.0,16.4
22,Watford FC,28,11,10,7,39,33,6,43,0.4,25.2,6.7,8.8
23,West Bromwich Albion FC,29,9,5,15,32,44,-12,32,0.0,0.0,0.0,20.6
24,Wrexham AFC,29,11,11,7,43,37,6,44,0.3,25.8,6.7,8.6
