TEAM,H/A,TEAM_PTS,TEAM_SCORE,SEP,OPP_SCORE,OPP_PTS,OPPONENT,RESULT,DATE
Portsmouth FC,A,3,1,-,0,1,Oxford United FC,W,'08/09/2025
Portsmouth FC,H,3,1,-,2,2,Norwich City FC,L,'08/16/2025
Portsmouth FC,A,4,1,-,1,3,West Bromwich Albion FC,D,'08/23/2025
Portsmouth FC,H,7,1,-,0,4,Preston North End FC,W,'08/30/2025
Portsmouth FC,A,8,0,-,0,4,Southampton FC,D,'09/14/2025
Portsmouth FC,H,8,0,-,2,4,Sheffield Wednesday FC,L,'09/20/2025
Portsmouth FC,A,8,1,-,2,5,Ipswich Town FC,L,'09/27/2025
Portsmouth FC,H,9,2,-,2,7,Watford FC,D,'10/01/2025
Portsmouth FC,H,12,1,-,0,8,Middlesbrough FC,W,'10/04/2025
Portsmouth FC,A,13,1,-,1,9,Leicester City FC,D,'10/18/2025
Portsmouth FC,H,13,1,-,2,10,Coventry City FC,L,'10/21/2025
Portsmouth FC,H,13,0,-,1,10,Stoke City FC,L,'10/25/2025
Portsmouth FC,A,13,0,-,4,10,Birmingham City FC,L,'11/01/2025
Portsmouth FC,H,14,0,-,0,10,Wrexham AFC,D,'11/05/2025
Portsmouth FC,A,14,2,-,3,12,Hull City AFC,L,'11/08/2025
Portsmouth FC,H,17,3,-,1,15,Millwall FC,W,'11/22/2025
Portsmouth FC,A,17,0,-,3,15,Sheffield United FC,L,'11/26/2025
Portsmouth FC,H,17,0,-,1,15,Bristol City FC,L,'11/29/2025
Portsmouth FC,A,17,0,-,0,15,Charlton Athletic FC,,'12/06/2025
Portsmouth FC,A,17,0,-,1,15,Swansea City AFC,L,'12/09/2025
Portsmouth FC,H,20,2,-,1,17,Blackburn Rovers FC,W,'12/13/2025
Portsmouth FC,A,21,1,-,1,18,Derby County FC,D,'12/20/2025
Portsmouth FC,H,22,1,-,1,19,Queens Park Rangers FC,D,'12/26/2025
Portsmouth FC,H,25,2,-,1,21,Charlton Athletic FC,W,'12/29/2025
Portsmouth FC,A,25,0,-,5,21,Bristol City FC,L,'01/01/2026
Portsmouth FC,A,25,-,-,-,21,Sheffield Wednesday FC,,'01/17/2026
Portsmouth FC,A,25,-,-,-,21,Watford FC,,'01/21/2026
Portsmouth FC,H,25,-,-,-,21,Southampton FC,,'01/25/2026
Portsmouth FC,H,25,-,-,-,21,West Bromwich Albion FC,,'01/31/2026
Portsmouth FC,H,25,-,-,-,21,Ipswich Town FC,,'02/03/2026
Portsmouth FC,A,25,-,-,-,21,Preston North End FC,,'02/07/2026
Portsmouth FC,H,25,-,-,-,21,Sheffield United FC,,'02/14/2026
Portsmouth FC,A,25,-,-,-,21,Millwall FC,,'02/21/2026
Portsmouth FC,A,25,-,-,-,21,Wrexham AFC,,'02/24/2026
Portsmouth FC,H,25,-,-,-,21,Hull City AFC,,'02/28/2026
Portsmouth FC,A,25,-,-,-,21,Blackburn Rovers FC,,'03/07/2026
Portsmouth FC,H,25,-,-,-,21,Swansea City AFC,,'03/10/2026
Portsmouth FC,H,25,-,-,-,21,Derby County FC,,'03/14/2026
Portsmouth FC,A,25,-,-,-,21,Queens Park Rangers FC,,'03/21/2026
Portsmouth FC,A,25,-,-,-,21,Norwich City FC,,'04/03/2026
Portsmouth FC,H,25,-,-,-,21,Oxford United FC,,'04/06/2026
Portsmouth FC,A,25,-,-,-,21,Middlesbrough FC,,'04/11/2026
Portsmouth FC,H,25,-,-,-,21,Leicester City FC,,'04/18/2026
Portsmouth FC,A,25,-,-,-,21,Coventry City FC,,'04/21/2026
Portsmouth FC,A,25,-,-,-,21,Stoke City FC,,'04/25/2026
Portsmouth FC,H,25,-,-,-,21,Birmingham City FC,,'05/02/2026
